,batter_id,height,weight,age,position,bats,throws
0,592450,"6' 7""",282,26,RF,R,R
1,519317,"6' 6""",245,28,LF,R,R
2,471865,"6' 1""",220,32,RF,L,L
3,443558,"6' 2""",230,38,DH,R,R
4,121347,"6' 3""",230,43,SS,R,R
5,608336,"6' 5""",235,24,LF,L,R
6,547180,"6' 3""",220,25,RF,L,R
7,573627,"6' 5""",290,28,DH,S,R
8,541645,"6' 4""",240,27,RF,R,R
9,543807,"6' 3""",215,29,CF,R,R
10,444432,"6' 4""",225,32,DH,R,R
11,434778,"6' 1""",225,35,DH,S,R
12,641820,"6' 4""",215,26,LF,R,R
13,476883,"6' 3""",250,31,3B,L,R
14,444482,"6' 1""",210,31,LF,L,L
15,596142,"6' 2""",230,25,C,R,R
16,624424,"6' 1""",215,25,CF,L,R
17,542979,"6' 3""",195,28,CF,R,R
18,570731,"6' 1""",225,26,2B,R,R
19,592518,"6' 3""",185,26,SS,R,R
20,518692,"6' 5""",220,29,1B,L,R
21,434670,"6' 2""",235,34,1B,R,R
22,457708,"6' 2""",205,31,LF,R,R
23,545361,"6' 2""",235,27,CF,R,R
24,656941,"6' 0""",235,25,LF,L,R
25,595751,"6' 2""",225,25,C,R,R
26,624585,"6' 4""",230,26,RF,R,R
27,593934,"6' 4""",260,25,3B,R,R
28,571506,"6' 3""",265,30,1B,L,R
29,446263,"6' 4""",255,32,1B,L,R
30,542303,"6' 1""",225,27,LF,R,R
31,467055,"5' 11""",268,32,3B,S,R
32,519306,"6' 4""",225,29,RF,R,R
33,543068,"6' 4""",235,28,1B,R,R
34,408234,"6' 4""",249,35,1B,R,R
35,407812,"6' 4""",240,38,LF,R,R
36,474892,"6' 4""",245,31,1B,R,R
37,543768,"6' 4""",230,28,3B,L,R
38,592669,"6' 1""",220,26,RF,R,R
39,570267,"6' 5""",220,26,RF,R,R
40,502110,"6' 3""",220,31,LF,R,R
41,575929,"6' 1""",210,26,C,R,R
42,452095,"6' 4""",260,32,C,R,R
43,621043,"6' 4""",215,24,SS,R,R
44,518626,"6' 1""",210,32,3B,R,R
45,452254,"6' 4""",230,35,LF,R,R
46,547989,"6' 3""",255,31,1B,R,R
47,571976,"6' 3""",205,27,LF,R,R
48,501981,"5' 10""",195,30,LF,R,R
49,448801,"6' 3""",230,32,1B,L,R
50,519048,"6' 2""",230,33,1B,L,L
51,623182,"6' 2""",223,28,RF,R,R
52,592178,"6' 5""",230,26,3B,R,R
53,543333,"6' 4""",225,28,1B,L,L
54,460075,"6' 2""",205,34,LF,R,R
55,430832,"6' 0""",205,37,RF,R,R
56,493316,"5' 10""",220,32,LF,R,R
57,502143,"6' 2""",210,34,3B,R,R
58,429665,"6' 1""",230,35,DH,R,R
59,641355,"6' 4""",210,23,1B,L,L
60,452252,"6' 2""",195,35,1B,L,L
61,120074,"6' 3""",230,42,DH,L,L
62,435622,"6' 3""",215,33,1B,R,R
63,592387,"6' 5""",225,26,1B,R,R
64,614173,"6' 3""",175,24,LF,L,R
65,593528,"6' 1""",225,25,RF,R,R
66,571602,"6' 3""",230,27,DH,R,R
67,448602,"6' 2""",220,35,1B,R,R
68,489149,"6' 3""",245,31,1B,L,L
