,batter_id,height,weight,age
0,592450,79,282,26
1,519317,78,245,28
2,471865,73,220,32
3,443558,74,230,38
4,121347,75,230,43
5,608336,77,235,24
6,547180,75,220,25
7,573627,77,290,28
8,541645,76,240,27
9,543807,75,215,29
10,444432,76,225,32
11,434778,73,225,35
12,641820,76,215,26
13,476883,75,250,31
14,444482,73,210,31
15,596142,74,230,25
16,624424,73,215,25
17,542979,75,195,28
18,570731,73,225,26
19,592518,75,185,26
20,518692,77,220,29
21,434670,74,235,34
22,457708,74,205,31
23,545361,74,235,27
24,656941,72,235,25
25,595751,74,225,25
26,624585,76,230,26
27,593934,76,260,25
28,571506,75,265,30
29,446263,76,255,32
30,542303,73,225,27
31,467055,71,268,32
32,519306,76,225,29
33,543068,76,235,28
34,408234,76,249,35
35,407812,76,240,38
36,474892,76,245,31
37,543768,76,230,28
38,592669,73,220,26
39,570267,77,220,26
40,502110,75,220,31
41,575929,73,210,26
42,452095,76,260,32
43,621043,76,215,24
44,518626,73,210,32
45,452254,76,230,35
46,547989,75,255,31
47,571976,75,205,27
48,501981,70,195,30
49,448801,75,230,32
50,519048,74,230,33
51,623182,74,223,28
52,592178,77,230,26
53,543333,76,225,28
54,460075,74,205,34
55,430832,72,205,37
56,493316,70,220,32
57,502143,74,210,34
58,429665,73,230,35
59,641355,76,210,23
60,452252,74,195,35
61,120074,75,230,42
62,435622,75,215,33
63,592387,77,225,26
64,614173,75,175,24
65,593528,73,225,25
66,571602,75,230,27
67,448602,74,220,35
68,489149,75,245,31
69,595879,72,190,25
70,150029,77,235,39
71,518516,76,242,29
72,429664,72,210,35
73,461235,73,210,35
74,543543,74,215,28
75,592885,75,195,26
76,453400,75,225,34
77,502671,75,225,31
78,285078,76,240,37
79,608369,76,220,24
80,605548,77,220,25
81,630111,74,250,27
82,572287,74,220,27
83,592626,73,220,26
84,430945,74,215,33
85,455104,72,230,35
86,596019,71,190,24
87,666560,73,220,32
88,456078,70,220,31
89,608577,76,215,23
90,594828,76,270,32
91,547379,71,220,29
92,571830,73,255,27
93,457787,72,205,31
94,461314,76,210,34
95,596847,73,230,27
96,502054,73,210,30
97,475582,75,215,34
98,607680,72,205,29
99,425902,71,275,34
100,572816,73,200,29
101,571875,75,215,27
102,518595,74,210,29
103,519058,72,225,30
104,405395,75,240,38
105,572204,75,217,27
106,460576,75,220,32
107,592206,76,203,26
108,592620,76,227,29
109,524968,75,235,28
110,475174,73,230,31
111,467092,73,245,31
112,435063,73,225,36
113,429711,74,200,35
114,664023,72,205,24
115,628356,72,210,31
116,571757,75,190,31
117,457705,71,195,31
118,521692,76,240,28
119,519203,75,240,29
120,595281,73,215,28
121,607776,76,237,28
122,457454,76,235,33
